date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:08:09	1450/1450	---MCZ	404	error ('Not%20Found')	text/html	etag:1678066352-ssl-df	https://coconut.netlify.app/robots.txt		(from )
21:08:09	6902/6902	---MCZ	200	added ('OK')	text/html	etag:%22d671f3c6b199bf0d83c5bfca984528be-ssl-df%22	https://coconut.netlify.app/	C:/Users/LENOVO/Desktop/New%20folder%20(3)/loker1/d/coconut.netlify.app/index.html	(from )
21:08:10	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1678066352-ssl-df	https://coconut.netlify.app/favicon.ico	C:/Users/LENOVO/Desktop/New%20folder%20(3)/loker1/d/coconut.netlify.app/favicon.0.delayed	(from https://coconut.netlify.app/)
21:08:10	397765/397765	---MCZ	200	added ('OK')	text/css	etag:W/%2264b2e3fd-611c5%22	https://me-qr.com/assets/css/material-kit.min.css?v=1	C:/Users/LENOVO/Desktop/New%20folder%20(3)/loker1/d/me-qr.com/assets/css/material-kit.min3860.css	(from https://coconut.netlify.app/)
21:08:10	144/144	---MCZ	200	added ('OK')	text/css	etag:W/%22646b78f6-700%22	https://me-qr.com/assets/css/base-style.css	C:/Users/LENOVO/Desktop/New%20folder%20(3)/loker1/d/me-qr.com/assets/css/base-style.css	(from https://coconut.netlify.app/)
21:08:11	90843/90843	---M--	200	added ('OK')	image/png	etag:%223e8d6d52a01456022b4f9d90b8fdf244%22	https://i.imgur.com/PliPKp3.png	C:/Users/LENOVO/Desktop/New%20folder%20(3)/loker1/d/i.imgur.com/PliPKp3.png	(from https://coconut.netlify.app/)
21:08:11	13922/13922	---M--	200	added ('OK')	image/png	etag:%2263cbb3b8-3662%22	https://cdn.me-qr.com/ListofLinks/48442.png	C:/Users/LENOVO/Desktop/New%20folder%20(3)/loker1/d/cdn.me-qr.com/ListofLinks/48442.png	(from https://coconut.netlify.app/)
21:08:12	6355/6355	---M--	200	added ('OK')	image/png	etag:%2263cbb3b8-18d3%22	https://cdn.me-qr.com/ListofLinks/48444.png	C:/Users/LENOVO/Desktop/New%20folder%20(3)/loker1/d/cdn.me-qr.com/ListofLinks/48444.png	(from https://coconut.netlify.app/)
21:08:12	3082/3082	---MCZ	404	error ('Not%20Found')	text/html	etag:1678066352-ssl-df	https://coconut.netlify.app/assets/js/lazy.js?v=2	C:/Users/LENOVO/Desktop/New%20folder%20(3)/loker1/d/coconut.netlify.app/assets/js/lazy.65e1f.delayed	(from https://coconut.netlify.app/)
21:08:12	535/535	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Jul%202023%2020:08:13%20GMT	https://me-qr.com/img/arrow-left.png	C:/Users/LENOVO/Desktop/New%20folder%20(3)/loker1/d/me-qr.com/img/arrow-left.png	(from https://me-qr.com/assets/css/material-kit.min.css?v=1)
21:08:13	538/538	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2017%20Jul%202023%2020:08:13%20GMT	https://me-qr.com/img/arrow-right.png	C:/Users/LENOVO/Desktop/New%20folder%20(3)/loker1/d/me-qr.com/img/arrow-right.png	(from https://me-qr.com/assets/css/material-kit.min.css?v=1)
